Metric,Mean,Std Dev,Max
End-to-End Latency (s),3.0269423414508783,1.6744815572617497,17.848902700003237
Speech-to-Text (ASR) (s),0.8562823912386511,0.12398731646425157,1.0008975000237115
LLM Response Time (s),1.477107189743706,1.6701516527199152,16.41145830001915
Robot Execution Delay (s),0.6935527604685213,0.13821613448485115,1.1345623999950476
